exper_id,algorithm,model_type,clients,clients_distr,epochs,threshold,batch_size,duration,timestamp,epoch_steps,data_sync,data_non_sync
0,Synchronous SGD,lenet5,8,[],20,,64,75.43018174171448,11-10-2023 12:18,117,0.246824,4e-06
1,Naive FDA,lenet5,8,[],20,1.1,64,73.22249364852905,11-10-2023 12:20,117,0.246824,4e-06
2,Naive FDA,lenet5,8,[],20,1.1,64,70.77670741081238,11-10-2023 12:23,117,0.246824,4e-06
3,Naive FDA,lenet5,8,[],20,1.1,64,39.90503716468811,11-10-2023 12:27,117,0.246824,4e-06
4,Naive FDA,lenet5,8,[],20,1.1,64,39.0236439704895,11-10-2023 12:52,117,0.246824,4e-06
5,Synchronous SGD,lenet5,8,[],20,,64,40.98591446876526,11-10-2023 12:55,117,0.246824,4e-06
8,Synchronous SGD,lenet5,8,[],20,,64,495.5287766456604,11-10-2023 16:20,117,0.246824,4e-06
9,Naive FDA,lenet5,8,[],20,1.1,64,202.48295140266416,11-10-2023 16:30,117,0.246824,4e-06
10,Naive FDA,lenet5,8,[],20,1.1,64,215.2375988960266,11-10-2023 16:44,117,0.246824,4e-06
11,Synchronous SGD,lenet5,8,[],20,,64,107.9481761455536,11-10-2023 13:52,117,0.246824,4e-06
12,Naive FDA,lenet5,8,[],20,1.1,64,94.83389091491699,11-10-2023 13:54,117,0.246824,4e-06
